"","logFC","logCPM","LR","PValue","FDR"
"Bra015699",1.56297962326188,3.50839569013641,33.7179109519703,6.37113680609382e-09,4.50364417640173e-06
"Bra032870",2.58305969098076,2.22594306961332,33.517962471344,7.06088810840146e-09,4.84861099420916e-06
"Bra025721",1.50059283745324,3.79829585348205,33.4137074381925,7.44970468966792e-09,4.97350562531885e-06
"Bra031989",1.91346698288125,2.11429634156511,33.3412687533575,7.73242015909013e-09,5.0227293541506e-06
"Bra015963",2.95722701583963,1.84115048051711,32.8740632658781,9.83263984770182e-09,6.2188859499912e-06
"Bra031844",3.01974720357437,3.44734298452476,32.7327967772757,1.05737986934571e-08,6.37124302251902e-06
"Bra016202",1.9838426670842,2.23475540328268,32.7273047559334,1.06037164392428e-08,6.37124302251902e-06
"Bra037411",2.44883927341065,4.31421795665382,32.6703390575722,1.09190818794712e-08,6.40071253393197e-06
"Bra021672",1.65727023938411,3.90639146158918,32.5248842128181,1.17676091190144e-08,6.63736604406929e-06
"Bra004689",-3.35522204178589,3.40441290849615,32.5072084871085,1.18751244027203e-08,6.63736604406929e-06
"Bra027323",3.78718965856675,0.901217306589707,32.1685816200444,1.41358252415982e-08,7.72137326946755e-06
"Bra039777",1.77024143757883,4.44971736513118,31.8907257404882,1.63094002902453e-08,8.66012114238016e-06
"Bra000840",-1.52141075054878,8.0117159622558,31.859338656049,1.65750841536776e-08,8.66012114238016e-06
"Bra033046",0.972298005549567,4.65494655729056,31.7954257742811,1.71295687251902e-08,8.75940542002599e-06
"Bra011441",2.25072318753532,1.98524689379049,31.6607540421402,1.83595112700689e-08,9.19276028885073e-06
"Bra018469",1.80508215587092,7.39940991221087,31.0534615290264,2.51018265172991e-08,1.20442311432086e-05
"Bra025372",-2.0187125865963,3.20401245234763,31.0272161222382,2.54435537109999e-08,1.20442311432086e-05
"Bra023288",1.95546063101664,4.195783349852,31.0185216461444,2.55577843182008e-08,1.20442311432086e-05
"Bra017093",1.76152960663486,3.7026956297212,30.7394922580926,2.95097508932496e-08,1.34151518870602e-05
"Bra023798",1.38601098731853,4.68860045682193,30.7346674133922,2.95832175257631e-08,1.34151518870602e-05
"Bra019368",2.29412999559432,3.6750728360216,30.5235808343795,3.29832961653506e-08,1.46800100007044e-05
"Bra006286",-2.23380795633926,3.30129033518847,30.4015061012102,3.51255333830895e-08,1.53492194423486e-05
"Bra028213",1.16730082051637,3.86378279372733,30.2439815879456,3.80971571243419e-08,1.61637602802735e-05
"Bra029278",1.14299335248211,6.53228665133395,30.2319296799245,3.83346232826657e-08,1.61637602802735e-05
"Bra026515",1.16756770587981,4.57518980778077,29.8328498046983,4.70944392516726e-08,1.94611741523499e-05
"Bra009783",1.49741479981711,5.11623848450354,29.8050589110283,4.77743727631125e-08,1.94611741523499e-05
"Bra016499",1.84639736688978,5.86702411100397,29.714921148302,5.00481089498397e-08,2.00476041750074e-05
"Bra003729",1.13502700156898,4.51849945058268,29.5925662333901,5.33089949529127e-08,2.10037440114476e-05
"Bra001122",2.86467822279051,3.38841847093621,28.9887839016625,7.27985831138553e-08,2.82200184928774e-05
"Bra040575",0.989673343484063,5.68685850670426,28.8095993123429,7.9854345768478e-08,3.04637991460254e-05
"Bra040442",2.0958756024997,4.40845920763502,28.7254895035227,8.33987787010488e-08,3.13188476140782e-05
"Bra030337",1.06954780619323,5.73039020994849,28.5973196552542,8.91054393250443e-08,3.29470789036633e-05
"Bra035574",1.65913512156597,3.03586391782532,28.2156681868894,1.08522521320894e-07,3.95186405670661e-05
"Bra020988",1.52444482605131,3.53123700078612,28.0154380560844,1.20351475202316e-07,4.24605346433126e-05
"Bra001626",-1.68165483090691,5.913186922608,28.0067379072095,1.20893777766778e-07,4.24605346433126e-05
"Bra017676",-2.29878704263436,2.7447395132807,27.9906768868174,1.21901343529523e-07,4.24605346433126e-05
"Bra011560",-1.26733106647158,4.94346384807666,27.8766327385076,1.29301934372348e-07,4.43948955815001e-05
"Bra022680",1.74522800450308,3.41903742497108,27.6313970623395,1.46776876376518e-07,4.96850062934259e-05
"Bra017219",2.56808762382333,7.60957333902222,27.5835078805445,1.5045616069771e-07,5.02231023084549e-05
"Bra029670",1.1423577740004,4.45639791020758,27.4807374528306,1.58666958292482e-07,5.2238379117829e-05
"Bra024328",2.62981618018516,1.40512477099876,27.1836055752848,1.85020971555072e-07,6.00918112210082e-05
"Bra005104",2.65277708457731,2.71923118157081,27.025585433848,2.0078018977323e-07,6.43406810801307e-05
"Bra007718",2.94336952930465,1.48806810103226,26.8959540127465,2.14707890175334e-07,6.75952139559416e-05
"Bra036158",2.86807434173548,3.71674890655144,26.8793433182326,2.16561183099255e-07,6.75952139559416e-05
"Bra017975",2.02946184677033,3.62960143431826,26.6193130139983,2.4775473095242e-07,7.58599326277939e-05
"Bra030726",2.12162122229313,2.18727040637535,26.606894329998,2.49352362386441e-07,7.58599326277939e-05
"Bra007694",1.42186889979873,2.63033438550821,26.5504095010986,2.5675028966529e-07,7.68000955261241e-05
"Bra016724",1.64619154991799,2.01063938022542,26.5347968681197,2.58833641408673e-07,7.68000955261241e-05
"Bra032084",0.891302457940516,4.88457213443815,26.4657345381752,2.68254487164302e-07,7.86247359086201e-05
"Bra020656",-1.48601122874922,5.13606533369875,26.3891351303355,2.79106044750271e-07,8.08196949340724e-05
"Bra016747",2.81268673715052,1.50973749891408,26.3260747788925,2.88369045916079e-07,8.25078767803218e-05
"Bra007335",1.32373825616691,4.90798586123489,26.1235744237817,3.20250028623471e-07,9.05516375051353e-05
"Bra017187",3.45781661846677,1.89921335744993,26.0718697152625,3.2894170586391e-07,9.19277320782931e-05
"Bra034852",3.36093989302297,7.71502790148329,25.9923600155839,3.42771141465895e-07,9.46915128044979e-05
"Bra032693",1.5370250310045,2.41946212561606,25.8701050941752,3.65181167574431e-07,9.81524152258855e-05
"Bra026737",0.951374285300887,5.74322759935561,25.8668873653788,3.65790425767514e-07,9.81524152258855e-05
"Bra040549",1.78611369647556,2.83390644645748,25.8576199306076,3.6755086004534e-07,9.81524152258855e-05
"Bra001341",4.05096084077587,2.24582214165499,25.737930135135,3.91065076734326e-07,0.000103284154442119
"Bra009869",2.47884242819699,1.8074011853109,25.6484476659837,4.09624870506452e-07,0.000107010044975566
"Bra032520",-1.46507762732571,5.1798083359928,25.6160739138527,4.16554979571638e-07,0.000107650348161557
"Bra014461",1.54995493500167,4.28607800629611,25.5171816276443,4.38460873634829e-07,0.000111478359672071
"Bra021063",1.53279558239292,3.42067077872494,25.5047434857255,4.41296622557226e-07,0.000111478359672071
"Bra011000",1.25586169205435,4.43490179744184,25.4738246201588,4.48425674456428e-07,0.000111478359672071
"Bra012711",-1.64244758145833,3.47674321761166,25.4623091039463,4.51110250340606e-07,0.000111478359672071
"Bra034778",-1.94558068886856,3.51423538745742,25.4476146081391,4.54559342925147e-07,0.000111478359672071
"Bra025481",1.86069111190463,3.54523388949858,25.3309037225827,4.82909508467053e-07,0.000117234819459567
"Bra039160",-1.1679503669625,5.21185360457736,25.2835373801105,4.94914879092697e-07,0.000118947842041139
"Bra022475",2.14474356980109,4.95819840130874,25.2413565715389,5.05857599992858e-07,0.000119987376776734
"Bra004457",-1.59082137323958,4.26376259877673,25.2285603954726,5.09224949289626e-07,0.000119987376776734
"Bra023863",2.35306068623667,1.69652290861337,25.1731561761032,5.24065958950961e-07,0.000122285449101237
"Bra025250",1.94314160262997,2.36094225516938,25.1290078068882,5.36201744521316e-07,0.000123914160844474
"Bra035092",0.97960540243952,5.03298459084922,24.5639291636576,7.18848213459209e-07,0.000164540932974082
"Bra034122",-1.54046843459751,2.08257567231621,24.5397240088771,7.27935150143974e-07,0.00016504899432604
"Bra013445",1.7972883348996,4.06365750287372,24.5028711578595,7.41991870154508e-07,0.000166663856142929
"Bra024640",2.14842741243399,2.76602430737517,24.2926701326672,8.27533692967013e-07,0.000184156896081196
"Bra033713",-1.34233805020194,5.82931037687972,24.2170971074006,8.60648659276511e-07,0.000189769081440841
"Bra000256",-2.55780115651093,1.47130367522215,24.1684372103362,8.82670696447685e-07,0.00019285552289476
"Bra001662",1.44118652845978,3.70914778155086,24.0567214248486,9.35391756801807e-07,0.000201480613574179
"Bra029831",1.57270911681371,8.25580183270682,24.0494869995304,9.38912736968795e-07,0.000201480613574179
"Bra028554",3.13003251978262,1.08917962492209,23.9748366017238,9.76030288338842e-07,0.000207223814496701
"Bra036747",0.726252223930363,5.09814571552509,23.9612926155176,9.82920647941413e-07,0.000207223814496701
"Bra006015",1.43534783873103,4.26884470583038,23.9379611382692,9.94904880008888e-07,0.000207421376513637
"Bra024087",-1.415072664618,6.98907735156113,23.9259750596306,1.00111840207963e-06,0.000207421376513637
"Bra001697",-1.70456681065642,4.28481387243633,23.8036199306146,1.06681640874376e-06,0.000218653501841818
"Bra000119",-2.00409679033634,1.92391515189959,23.7915528217316,1.07352555618434e-06,0.000218653501841818
"Bra006415",0.997257611746651,3.8830279467981,23.7611244802751,1.09063177736818e-06,0.000220270959136695
"Bra006304",1.63878859580001,2.91964173395351,23.6560167649311,1.15185211756483e-06,0.000230696781612942
"Bra020975",-1.31368211683367,7.04285834387137,23.5818715541631,1.19710033568544e-06,0.000237777764197223
"Bra013859",-1.04338774617524,5.40789500578927,23.446647848486,1.28426306669472e-06,0.00025299982413886
"Bra029887",1.32284950794541,3.0147316821584,23.4117728609085,1.30775738873549e-06,0.000255533667324136
"Bra019406",1.15743436920204,7.0860130183598,23.2140316225053,1.44935951372056e-06,0.000280918601231935
"Bra022432",1.59897113053694,5.37635363504976,23.1674118218938,1.48492533506872e-06,0.000285509564024333
"Bra006297",-1.27004641906838,5.31824146748621,23.1317781542309,1.51269908265962e-06,0.000288541347243185
"Bra040857",1.75179380153105,7.4440680274637,23.1129207978864,1.52760718128283e-06,0.000289090637755525
"Bra001948",-1.15029843083674,5.1949450779595,23.0765428699494,1.55678419253083e-06,0.000292310556900671
"Bra004385",2.93238489633813,2.14206254686414,23.039770861742,1.5868454163321e-06,0.000295645292528106
"Bra040958",1.96107392248691,2.46273044436173,22.959363122882,1.65462322565702e-06,0.000305901650811083
"Bra101355",1.77029162373777,2.13669694171542,22.8077662293304,1.79040742617526e-06,0.000328478260157986
"Bra039236",0.930546109865515,4.63665899132024,22.7311027820685,1.86327452583505e-06,0.000339257120863027
"Bra031784",-1.54355499377729,5.2676781784378,22.6521344934539,1.94144424207506e-06,0.000349906115747334
"Bra013723",-1.40869525230541,3.16520736505391,22.6428200871307,1.9508787347151e-06,0.000349906115747334
"Bra006498",-2.03828123394051,4.48794268654047,22.5856244136624,2.0098285763502e-06,0.000357809037066672
"Bra008873",1.74516474616119,1.98942713944063,22.5311201652726,2.06766653386618e-06,0.000365399246139264
"Bra001090",1.71347281370268,10.178750711624,22.4958682947589,2.10596080233252e-06,0.000369450087031094
"Bra040309",-1.55582898222486,3.13133573665655,22.4005804223741,2.21307121542106e-06,0.000384029575409882
"Bra102159",-1.73750168756968,2.23441523575782,22.393690297048,2.22102483906023e-06,0.000384029575409882
"Bra008857",1.02647909927469,4.47933817910635,22.3455827702033,2.27736268620007e-06,0.000390958105715233
"Bra039976",-1.37034791272144,7.38645557913276,22.2233616730876,2.42702672370992e-06,0.000413696172181873
