"","logFC","logCPM","LR","PValue","FDR"
"Bra008191",8.51044538371149,4.95986726078314,535.061438233924,2.23776908033172e-118,1.73492071215138e-115
"Bra026843",-4.65670262702786,6.10851795050774,531.980354678108,1.04740208368379e-117,7.86664427476758e-115
"Bra001707",-7.68281526501377,4.67393785781277,523.340453578749,7.93937676186937e-116,5.78227215438692e-113
"Bra021340",6.95783060525354,4.64236056064125,514.069027631662,8.2588121002238e-114,5.83800852990526e-111
"Bra026944",-6.61910338219439,4.52411192825041,509.012246570521,1.0402121750269e-112,7.14298840417042e-110
"Bra005748",8.21565169933223,4.66345125100927,494.743025408837,1.32371304098325e-109,8.83725534083096e-107
"Bra024670",-6.19906514793183,4.25957466127517,486.19776019277,9.5750864198231e-108,6.21966559497374e-105
"Bra040628",10.3233976870317,4.31382214834939,480.515051369565,1.65070614236344e-106,1.04402819540955e-103
"Bra015108",-5.26917319201011,4.59409363363039,474.16653222552,3.97291484716734e-105,2.44833424196974e-102
"Bra040268",-9.94113180385884,3.8185688405201,469.978040165688,3.24001737674533e-104,1.94676444081743e-101
"Bra024600",7.13750840113515,4.45413661083835,467.668678254019,1.0305855111044e-103,6.04124199363005e-101
"Bra006384",10.086884751252,4.08917042936567,467.59920648816,1.06709173868727e-103,6.1063054399071e-101
"Bra019453",5.99806569843199,4.90095982020435,465.434547260297,3.1568564748615e-103,1.76446252364701e-100
"Bra100433",-10.5065971460527,4.44222564683645,464.310945846791,5.54324912450866e-103,3.02787385132821e-100
"Bra040132",7.61454766245025,4.08803837788442,463.783898045559,7.21866601909402e-103,3.8554093133979e-100
"Bra026762",-9.8682318652496,3.73687977253036,463.637917821612,7.76647985470562e-103,4.05781688756511e-100
"Bra012950",-7.86000667836477,3.94110866336413,457.886385863996,1.38628487016235e-101,7.08892990840041e-99
"Bra026370",8.66306883629022,3.99594577500674,450.29971852507,6.20709775384039e-100,3.1079455711625e-97
"Bra000176",-4.978804897191,4.45645495065376,448.438349183976,1.57752157495388e-99,7.73758235355951e-97
"Bra011766",-4.33029661814587,6.30835951562594,440.022970341814,1.07015574314489e-97,5.12267528035751e-95
"Bra017966",-4.15406735802834,5.07902068712583,439.991753626235,1.08702853997767e-97,5.12267528035751e-95
"Bra024707",8.14178887897436,4.14374752591167,438.064869036449,2.8550083411448e-97,1.3195628936745e-94
"Bra025781",-9.9643097747701,3.86917747844024,434.166220982967,2.01428280313158e-96,9.1342024321631e-94
"Bra100944",6.14547315103167,5.25943136881795,432.116301411527,5.62701176597799e-96,2.50443705154657e-93
"Bra012688",-9.73939920868863,3.61366189760749,421.616002780909,1.08568975516707e-93,4.74426683194279e-91
"Bra102539",9.91532565553452,3.92595119467137,418.783862443485,4.48904428241772e-93,1.92660161220763e-90
"Bra101550",7.91834284729066,3.9332802028567,418.550580355298,5.04580978886263e-93,2.12756127132499e-90
"Bra028065",7.33457429595052,4.14143599563431,417.511232988457,8.49492653423327e-93,3.52012179868556e-90
"Bra027763",-4.34831709952707,4.93065051546794,416.542945779443,1.38013739707934e-92,5.62207155956013e-90
"Bra022069",7.9184616101598,3.93708625330458,415.407038936601,2.43877373958028e-92,9.76891467617874e-90
"Bra012997",-6.64796065660519,3.92209184117224,414.958069662059,3.05420124380968e-92,1.20335529006101e-89
"Bra037029",-9.88016330711934,3.8270374030721,407.494539818236,1.28678157370077e-90,4.98814650682652e-88
"Bra100802",-8.42452509583285,3.45117183264962,406.339564596119,2.29571443433662e-90,8.75796836743594e-88
"Bra029946",-8.18562368800327,5.36320124176254,405.820814026772,2.97741359237658e-90,1.11811184811217e-87
"Bra010890",-6.16261626435164,4.17595790318748,404.369191821862,6.16352635047749e-90,2.27898757395963e-87
"Bra014438",-8.55938642837289,3.57744232190617,403.965379424682,7.54626237357037e-90,2.74798287706652e-87
"Bra023234",7.08383662227276,3.9225493733592,403.417456781228,9.93127662089926e-90,3.56251197472676e-87
"Bra032770",5.91326003477153,4.63272484031856,402.686070192277,1.43289961947566e-89,5.06445727271735e-87
"Bra100354",-9.78630315348234,3.61303532999505,400.123850725885,5.17575746182938e-89,1.80281383822619e-86
"Bra040257",8.43149711123443,3.77722831890964,395.694678269098,4.76608311112005e-88,1.63640059275228e-85
"Bra008192",6.19126542895145,5.26999211516819,395.218371745347,6.05132523114956e-88,2.04841620571054e-85
"Bra006844",-9.74539737594363,3.64190570451382,393.062118745877,1.78343341026757e-87,5.95319980310706e-85
"Bra028616",7.36768582168704,4.45689869279425,392.140008128101,2.83137979000095e-87,9.3218331332716e-85
"Bra008763",8.42361313704456,3.77067657660468,391.976840734974,3.07269458042733e-87,9.92797920058527e-85
"Bra024251",8.46515196757401,3.8104568327987,391.960411261459,3.09810451878129e-87,9.92797920058527e-85
"Bra035985",5.58935291905538,4.07602235070953,390.362479164093,6.90184499186777e-87,2.18261766492829e-84
"Bra034086",-6.67028860841484,3.80750416835676,385.056900059507,9.86310164501095e-86,3.07856863553498e-83
"Bra032605",-9.67006532740306,3.56128699078991,381.042011971284,7.38073601708212e-85,2.27421294146861e-82
"Bra019068",-3.72083776941887,5.15280345404283,379.174284924418,1.88249095594741e-84,5.72706172597975e-82
"Bra012295",6.67161156439489,4.03367809145605,378.632702202692,2.46970370255134e-84,7.41960734838988e-82
"Bra024228",9.94087339649026,3.9501317834647,376.848672014572,6.04035261942443e-84,1.79226956611416e-81
"Bra032593",-9.42960925125775,3.35806420290963,373.300993914958,3.57662918353711e-83,1.04830129020891e-80
"Bra015167",7.72596639204458,3.75232308213648,372.473546138325,5.4154085137295e-83,1.56811961709608e-80
"Bra013009",9.67835051869706,6.20127015120432,370.537356743576,1.42953605532013e-82,4.09017494685287e-80
"Bra039592",-9.57742151922089,3.51887715022276,366.092142181605,1.32760214297521e-81,3.75383410638426e-79
"Bra015018",-9.5138408527626,3.44081288205955,363.289898928369,5.4103685560625e-81,1.51200927763263e-78
"Bra002728",3.6476839780773,5.05101018497819,360.131409362117,2.63614906125154e-80,7.28243753311718e-78
"Bra032986",-5.75548990798667,3.62596118848097,359.114571226379,4.38918794907663e-80,1.19874708145577e-77
"Bra038030",7.84022792470752,3.8724717827991,356.358304846743,1.74808949736335e-79,4.7206273010821e-77
"Bra032606",-8.09844059203829,3.14238717431863,355.244363586231,3.05582873335239e-79,8.1604208641546e-77
"Bra031679",8.36869660923607,3.71322818173333,354.185320963334,5.19687065463344e-79,1.37254493751055e-76
"Bra023330",9.53174819333629,3.5645319451459,352.249546750038,1.37174488632131e-78,3.58353441280938e-76
"Bra100663",-5.90938849462438,3.78691050620673,349.881768294149,4.49662060934876e-78,1.16206214758159e-75
"Bra011114",5.16317723487911,4.09069404519319,346.352917899005,2.6384880762673e-77,6.74610876861791e-75
"Bra006426",-3.81805540903462,4.60141561394694,346.05983356803,3.05619014431451e-77,7.73183936089e-75
"Bra037232",-3.92103374162448,4.50648475708999,346.032071126745,3.09903321045812e-77,7.75855876876567e-75
"Bra015220",9.36982190513173,3.40866810355783,345.585048211849,3.8777082117344e-77,9.60792156297161e-75
"Bra035436",8.23941858161635,3.59546711587586,345.103743026057,4.93617023623721e-77,1.21057056589515e-74
"Bra030653",4.40594172264269,6.5922971545656,344.893119257559,5.48603168283774e-77,1.33183116631639e-74
"Bra009636",-4.04491816879405,6.55879918438905,343.463300874607,1.12366371295548e-76,2.70061336771721e-74
"Bra034105",-9.82682589875794,3.69746750872993,343.122025851662,1.33339222102335e-76,3.17294540990844e-74
"Bra002624",-5.68155235032333,4.58415442823493,342.234882080763,2.08045184338773e-76,4.9021156474491e-74
"Bra014656",5.94828410646201,4.22852820202446,339.162311557002,9.71191541787527e-76,2.2661764577982e-73
