"","logFC","logCPM","LR","PValue","FDR"
"Bra027181",2.64983830849134,8.22510668091763,35.3293649660192,2.78402644191334e-09,2.90918658717153e-06
"Bra018722",-2.53212008556397,3.95274161807227,34.9533382175271,3.37701927570333e-09,3.33013810156177e-06
"Bra002896",2.37139545229167,4.5382154017126,34.9038308025541,3.46398654152635e-09,3.33013810156177e-06
"Bra010292",3.65795399033061,6.4182249893646,34.5134677365116,4.23312241413171e-09,3.8005994748233e-06
"Bra021913",-3.91895952418749,2.47362594658377,34.4967547968765,4.26962577266494e-09,3.8005994748233e-06
"Bra011195",2.16145817507124,5.19174909318241,34.0934924286689,5.25266372802887e-09,4.50866142998021e-06
"Bra007907_Bra007908_Bra007909",-2.52481478675023,4.61704540997473,33.9176768669939,5.74939532710856e-09,4.76486094109404e-06
"Bra027700",-3.10952120497388,3.11457244372825,33.4695827138824,7.23872532834874e-09,5.79918415138445e-06
"Bra036607",-3.35753154740543,4.35088546814849,33.2137937828728,8.25627801681056e-09,6.40101244696855e-06
"Bra002515",-3.89204975184158,3.61434580435575,32.9073154513699,9.66588569991553e-09,7.25968427849281e-06
"Bra031658",2.88175468336246,3.44757520984983,32.4586132500308,1.21758103966068e-08,8.86767960824386e-06
"Bra004810",-2.76318123483302,8.74792588276371,31.9399270809576,1.59014812742697e-08,1.1002766900318e-05
"Bra005070",-3.35833435414257,3.72886455606753,31.9251387541348,1.60230024761226e-08,1.1002766900318e-05
"Bra035502",2.69584353036605,6.39059219455302,31.824899375923,1.68715949958016e-08,1.12636642813638e-05
"Bra004892",1.78621912547461,6.83520155698906,31.3481793664467,2.15660837364284e-08,1.40086285546303e-05
"Bra018386",-3.0358067923475,4.28216032681929,31.17350951867,2.35964238767103e-08,1.49241171434962e-05
"Bra040840",3.70873104413085,3.38016475350071,30.2150368780391,3.86699706270001e-08,2.33581243032453e-05
"Bra024269",8.49354653434072,2.78460753825598,30.2047741761926,3.88751340654827e-08,2.33581243032453e-05
"Bra040801",-1.7474057697849,5.06775740674736,30.135329940291,4.02923564732196e-08,2.3619182816521e-05
"Bra017219",-2.97987495885466,7.60957333902222,30.0392473805311,4.23389710430484e-08,2.42279721440149e-05
"Bra022378",-3.29616054621439,2.68283572076429,29.9337307002266,4.47067377440469e-08,2.44674043773526e-05
"Bra006092",7.13481216845442,4.15013614007844,29.9299735423871,4.47934506367443e-08,2.44674043773526e-05
"Bra032375",3.47208221682203,3.63068978183932,29.5907354511213,5.33593701602989e-08,2.8498646720725e-05
"Bra024197",-2.49414460564217,4.73999000702496,29.1089355021905,6.84206877233218e-08,3.57483219291808e-05
"Bra023827",-2.90346920745101,3.33440179239031,29.0261130962857,7.14091959781479e-08,3.65159280029533e-05
"Bra021506",1.89547619848313,7.05388070930932,28.9754827153828,7.33001696151843e-08,3.67020057610696e-05
"Bra036155",3.95790021314176,7.08691605085204,28.8773587694257,7.71090031348058e-08,3.71318613942707e-05
"Bra013676_Bra013677",-2.85549346712249,4.59449267571692,28.8738551444637,7.72486090419212e-08,3.71318613942707e-05
"Bra036852",4.94985784714566,3.17577316184524,28.6756636296435,8.55723841741529e-08,4.0326405514541e-05
"Bra005071",-3.31641352924717,3.20413440291624,28.4804249256441,9.4650618567504e-08,4.28338193563703e-05
"Bra014819",3.02770202940351,6.69987423276825,28.4751957650429,9.49066014572792e-08,4.28338193563703e-05
"Bra013682",-3.71460451592157,2.31886156484187,28.4481888782709,9.62397539004743e-08,4.28338193563703e-05
"Bra013628",-2.15178673626917,4.69190888819274,28.2355507143667,1.07413477520225e-07,4.67803115356218e-05
"Bra037283",-2.9244704685949,5.48288290456459,28.2071770702985,1.08999644087327e-07,4.67803115356218e-05
"Bra016610",-3.99435669383154,2.09468766284754,27.8927665876708,1.2822823983745e-07,5.35847275927017e-05
"Bra011606",-2.15688993582219,6.17373359677626,27.8764637005591,1.29313231271395e-07,5.35847275927017e-05
"Bra004130",-2.4524351938453,3.15124749487593,27.2237453302185,1.81219289647392e-07,7.38207526675496e-05
"Bra036217",-2.72407125963031,4.93702987231604,26.7762902919565,2.28422791273352e-07,9.11733830654221e-05
"Bra015896",-1.62410517925727,5.92496214135221,26.751228858093,2.31404525546756e-07,9.11733830654221e-05
"Bra022342",-5.01524508864741,3.68049334939286,26.6320348999577,2.46128731439133e-07,9.45937638375328e-05
"Bra005227",-2.59686862211879,4.37024222750742,26.6177335258047,2.47957357150893e-07,9.45937638375328e-05
"Bra031068",3.26036277027752,3.30974829909371,26.5678706336278,2.54440178010749e-07,9.55502380985989e-05
"Bra006273",4.02597075245676,6.08983964223038,26.5023911956147,2.6321210213297e-07,9.73236871179046e-05
"Bra020646",3.96864298668482,8.05951519479779,26.2815766064301,2.95090284065057e-07,0.000107457574048781
"Bra017113",3.27266814452357,7.04490456748526,25.8550432310947,3.68041835019006e-07,0.000132022648699206
"Bra034676",-3.18007884977459,3.54228646638719,25.6129290127884,4.1723442694936e-07,0.000147467826725014
"Bra006683",-2.41251553479594,5.78103363166881,25.4599477175169,4.51662740499572e-07,0.000157322642103865
"Bra025028",-2.24533294754903,5.12623625746394,25.3798604740724,4.70807761692402e-07,0.000160828007195547
"Bra024102",3.67281543159983,2.84832988914157,25.3623139115897,4.75109782428387e-07,0.000160828007195547
"Bra003687",2.35989541402463,7.00323190994039,25.3262263637445,4.84081913173218e-07,0.000161589231961182
"Bra011132",-1.37290076063805,5.64871813650294,25.1255018412741,5.37177477982402e-07,0.00017685648638122
"Bra030671",-2.74924149448917,5.0890939243161,24.8459790664723,6.20984409802905e-07,0.000201685666286527
"Bra035634",4.31660820414498,8.20876482675869,24.8112387868468,6.3227740602087e-07,0.000202615402350741
"Bra015961",-2.75508225988929,2.87383689956212,24.6810360126094,6.76465411247291e-07,0.000213923285446282
"Bra023460",1.93045929313968,6.16793771256048,24.6068431156136,7.0301641174291e-07,0.000219432421296482
"Bra029614",3.2386460118178,6.44916800310748,24.4703528192701,7.5462116288185e-07,0.000232520064470544
"Bra009136",4.95542493617998,1.07944279330862,24.2863707175324,8.30244500452148e-07,0.000252583497770467
"Bra012492",2.36202839079755,5.04920607114066,24.1670420480763,8.83310370593615e-07,0.000265368518085587
"Bra003126",-2.75058208147461,4.9480670428917,23.8980415665741,1.01575042926569e-06,0.000301389454530513
"Bra008302",5.13829353678289,2.31949571425498,23.8368790818359,1.04854163258086e-06,0.000303438044771147
"Bra006291",3.39075449306311,4.85639024886352,23.8305983817122,1.05196845519423e-06,0.000303438044771147
"Bra030155",2.58533566713735,6.81529596080463,23.814994623463,1.0605307381533e-06,0.000303438044771147
"Bra000111",1.92104096220721,7.34241098243394,23.5995511358767,1.1861518212813e-06,0.0003337032215937
"Bra007141",2.52968238382317,6.24929970253028,23.5867353145084,1.19407826649988e-06,0.0003337032215937
"Bra004735",4.36929511394118,2.93574112850111,23.4844398503036,1.25928127439174e-06,0.00034690891205357
"Bra008561",3.50971044384756,4.17286002164754,23.4678306919102,1.2701998943461e-06,0.00034690891205357
"Bra011759",4.05075237568736,7.17495453720077,23.2939331222842,1.39037883853933e-06,0.000369555223533721
"Bra017474",-3.57167899609814,4.22438911836813,23.2921177180369,1.39169180694466e-06,0.000369555223533721
"Bra033648",2.28451797513217,5.65405997753117,23.2817033207022,1.39924795462963e-06,0.000369555223533721
"Bra032105",-3.35243088387411,1.99408307172792,23.1641490048759,1.48744703884183e-06,0.000388579370994832
"Bra019307",-1.88742714810904,6.64024822927676,22.9862226667018,1.63166561047828e-06,0.000421671519163818
"Bra017855",2.44953349467253,5.60332885931834,22.9435797685991,1.66826455314912e-06,0.000426543300748787
"Bra035917",2.23316625453426,5.97596813948183,22.5771807403442,2.01868130429537e-06,0.000510705120709841
"Bra040320",3.47014331747176,1.72877938073218,22.4098179496569,2.2024526797119e-06,0.00055139320525204
"Bra000292",4.9851284623648,4.49636472033554,22.2829406107963,2.35287618882176e-06,0.000580785521392978
"Bra018935",-2.75979274052298,3.74008378960253,22.2704865779723,2.36818594892701e-06,0.000580785521392978
"Bra038432",4.2637472938283,4.50216556072756,22.1546204320071,2.51549832837375e-06,0.000610681685092269
"Bra004749",2.39348044503189,7.05741201324883,22.1297257231551,2.54833039937777e-06,0.000612465728186453
"Bra022802_Bra022803",-2.48963827488699,7.70440075166608,22.0208309440858,2.6970735855619e-06,0.000641796698568264
"Bra020472",-1.84977398240563,5.80244358591351,21.882169752348,2.89915231259042e-06,0.000683119869419591
"Bra007864",2.59882871315284,7.47860363805109,21.8088950102068,3.01200518829521e-06,0.000695976164593637
"Bra035732",-3.14616695569373,3.57956472165906,21.8045738475868,3.01879633694091e-06,0.000695976164593637
"Bra012899",4.50102265201495,3.62562380511217,21.7907733893128,3.04058822011866e-06,0.000695976164593637
"Bra100459",3.59556117107769,5.10252493115027,21.7712550174169,3.07167883839017e-06,0.000696459709451597
"Bra017619",4.20168644240313,3.29330558785029,21.689841650848,3.20483913588196e-06,0.000719203858157959
"Bra039004",1.6427821913687,4.53957716398253,21.6737485920366,3.23183892323623e-06,0.000719203858157959
